Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL4868486,,None,595.7,1,4.98,I-8,Cc1ccccc1-c1cccc(COc2ccc(CNC(CO)(CO)CO)c(OCc3nnc(-c4ccccc4)o3)c2)c1C,IC50,'=',150.1,nM,6.82,,,UO_0000065,11.45,0.21,1.84,5.24,0,CHEMBL4811127,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by TR-FRET assay relative to control,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808253,1,Scientific Literature,Bioorg Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4793709,,None,388.47,0,3.34,A11,O=C(c1ccc(CNCCO)c(O)c1)N1CCc2c(-c3ccccc3)cccc21,IC50,'=',304.4,nM,6.52,,,UO_0000065,16.77,0.31,3.18,8.95,0,CHEMBL4682311,Inhibition of PD-1/PDL1 interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4680115,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR
CHEMBL4798882,,None,931.88,2,6.24,P2,Cc1c(COc2ccc(CN3CCCCC3C(=O)N3CCN(C(=O)CCCC(=O)Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)cc2Br)cccc1-c1ccccc1,IC50,'>',200,nM,,,,UO_0000065,,,,,0,CHEMBL4769862,Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4765316,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL4852471,,None,762.21,3,7.52,39,CC(=O)OCCOC(=O)[C@@H]1CCCCN1Cc1cc(Cl)c(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL4841996,Inhibition of PD-1/PD-L1 interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4840360,1,Scientific Literature,J Med Chem,2021,None,,
CHEMBL4859877,,None,447.56,0,4.45,A20,O=C(O)[C@@H]1CCCCN1Cc1cnc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,IC50,'=',76.5,nM,7.12,,,UO_0000065,15.9,0.3,2.67,9.65,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4873275,,None,472.51,1,5.23,A7,Cc1c(NC(c2ccc(CNCCO)cc2)C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL4828906,Inhibition of Tag2-PD1/Tag1-PD-L1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2 hrs in dark by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4828707,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 2.25 hr,
CHEMBL4862746,,None,381.5,0,4.24,B12,Cc1c(-c2ccc3c(c2)OCCO3)cccc1-c1ccc(CNCCO)s1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4828906,Inhibition of Tag2-PD1/Tag1-PD-L1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2 hrs in dark by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4828707,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 2.25 hr,
CHEMBL4754010,,None,590.6,2,5.67,90,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cncc(C#N)c2)cc1NCc1cccc(-c2ccccc2)c1C(F)(F)F,IC50,'=',610,nM,6.21,,,UO_0000065,10.52,0.2,0.54,4.87,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4745173,,None,562.67,2,5.45,74,Cc1cc(CN2C[C@H](O)C[C@H]2C(=O)O)c(OCc2cncc(C#N)c2)cc1NCc1cccc(-c2ccccc2)c1C,IC50,'=',24,nM,7.62,,,UO_0000065,13.54,0.25,2.17,6.42,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4092122,,None,198.26,0,3.15,Page No 7251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4860618,,None,474.54,0,4.2,A36,O=C(O)[C@@H]1CCCN1Cc1cnc(C(=O)N2CCc3c(-c4ccc5ocnc5c4)cccc32)s1,IC50,'=',182.2,nM,6.74,,,UO_0000065,14.2,0.27,2.54,6.75,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL5087652,,None,381.86,0,3.74,A1,O=C(Nc1ccc(CNCCO)cn1)c1cccc(-c2ccccc2)c1Cl,IC50,'=',502.13,nM,6.3,,,UO_0000065,16.5,0.32,2.56,8.48,0,CHEMBL5042465,Inhibition of PD-1/PDL-1 (unknown origin) interaction incubated for 15 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038680,1,Scientific Literature,ACS Med Chem Lett,2022,None,TIME = 0.25 hr,INHIBITOR
CHEMBL5086380,,None,421.93,0,4.61,A4,O=C(Nc1ccc(CN2CCC(O)CC2)cn1)c1cccc(-c2ccccc2)c1Cl,IC50,'=',460.36,nM,6.34,,,UO_0000065,15.02,0.29,1.73,9.68,0,CHEMBL5042465,Inhibition of PD-1/PDL-1 (unknown origin) interaction incubated for 15 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038680,1,Scientific Literature,ACS Med Chem Lett,2022,None,TIME = 0.25 hr,INHIBITOR
CHEMBL5071127,,None,482.97,0,3.9,B7,COc1ccc(-c2cccc(C(=O)Nc3ccc(CNCCNC(C)=O)cn3)c2Cl)cc1OC,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL5042465,Inhibition of PD-1/PDL-1 (unknown origin) interaction incubated for 15 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038680,1,Scientific Literature,ACS Med Chem Lett,2022,None,TIME = 0.25 hr,
CHEMBL5088131,,None,490.91,0,4.9,C2,CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1C(F)(F)F,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL5042465,Inhibition of PD-1/PDL-1 (unknown origin) interaction incubated for 15 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038680,1,Scientific Literature,ACS Med Chem Lett,2022,None,TIME = 0.25 hr,
CHEMBL5086156,,None,399.85,0,3.88,C5,O=C(Nc1ccc(CNCCO)c(F)n1)c1cccc(-c2ccccc2)c1Cl,IC50,'=',428.67,nM,6.37,,,UO_0000065,15.93,0.31,2.49,8.58,0,CHEMBL5042465,Inhibition of PD-1/PDL-1 (unknown origin) interaction incubated for 15 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038680,1,Scientific Literature,ACS Med Chem Lett,2022,None,TIME = 0.25 hr,INHIBITOR
CHEMBL5081130,,None,503.6,1,4.61,A22,Cc1c(COc2ccc(CN3CCC[C@H]3C(=O)N[C@@H](C)CO)cc2[N+](=O)[O-])cccc1-c1ccccc1,IC50,'=',61.8,nM,7.21,,,UO_0000065,14.31,0.27,2.6,6.87,0,CHEMBL5034139,Inhibition of human PD-1/PD-L1 interaction assessed as disruption of PD-1/PD-L1 complex incubated for 2 hrs by Tag-1 Eu3+ and anti-Tag2-XL665 based HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5033993,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.0 hr,INHIBITOR
CHEMBL5079965,,None,531.65,2,5.39,A27,Cc1c(COc2ccc(CN3CCCC[C@H]3C(=O)NCC(C)(C)O)cc2[N+](=O)[O-])cccc1-c1ccccc1,IC50,'=',12.1,nM,7.92,,,UO_0000065,14.89,0.28,2.53,7.54,0,CHEMBL5034139,Inhibition of human PD-1/PD-L1 interaction assessed as disruption of PD-1/PD-L1 complex incubated for 2 hrs by Tag-1 Eu3+ and anti-Tag2-XL665 based HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5033993,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.0 hr,INHIBITOR
CHEMBL5069616,,None,543.58,1,4.66,B9,Cc1c(COc2cc(OCc3cccnc3)c(CN[C@@H](CO)C(=O)O)cc2[N+](=O)[O-])cccc1-c1ccccc1,IC50,'=',17.9,nM,7.75,,,UO_0000065,14.25,0.26,3.09,5.38,0,CHEMBL5034139,Inhibition of human PD-1/PD-L1 interaction assessed as disruption of PD-1/PD-L1 complex incubated for 2 hrs by Tag-1 Eu3+ and anti-Tag2-XL665 based HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5033993,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.0 hr,INHIBITOR
CHEMBL4743124,,None,421.5,0,3.21,63,COc1cc(NCc2cccc(-c3ccccc3)c2C)ncc1CN[C@H](CO)C(=O)O,IC50,'=',2632,nM,5.58,,,UO_0000065,13.24,0.25,2.37,5.38,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4789841,,None,510.63,2,5.7,56,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2ccccc2)cc1NCc1cccc(-c2ccccc2)c1C,IC50,'=',2583,nM,5.59,,,UO_0000065,10.94,0.2,-0.11,6.15,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4745408,,None,417.55,0,4.51,BMS-202,COc1cc(NCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',175,nM,6.76,,,UO_0000065,16.18,0.3,2.25,10.83,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4763554,,None,518.66,2,5.95,49,CC(=O)NCCNCc1ccc(NCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,IC50,'=',4942,nM,5.31,,,UO_0000065,10.23,0.19,-0.64,6.16,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4089730,,None,419.53,0,3.87,BMS-202,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',190.8,nM,6.72,,,UO_0000065,16.02,0.3,2.85,9.27,0,CHEMBL4625304,Inhibition of PD1 (unknown origin)/PDL1 (unknown origin) protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4622943,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,
CHEMBL4793691,,None,905.85,2,5.8,P1,Cc1c(COc2ccc(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Br)cccc1-c1ccccc1,IC50,'>',200,nM,,,,UO_0000065,,,,,0,CHEMBL4769862,Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4765316,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL4791479,,None,921.49,2,8.5,P14,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccccc1,IC50,'=',170.9,nM,6.77,,,UO_0000065,7.34,0.14,-1.73,3.98,0,CHEMBL4769862,Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4765316,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR
CHEMBL4780862,,None,1050.57,None,None,P18,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,'>',200,nM,,,,UO_0000065,,,,,0,CHEMBL4769862,Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4765316,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL4528795,,None,801,2,9.66,2c,CCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCC)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,IC50,'=',3.8,nM,8.42,,,UO_0000065,10.51,0.19,-1.24,6.27,0,CHEMBL4312946,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4311949,1,Scientific Literature,J Med Chem,2019,CHEMBL3307715,,
CHEMBL4758897,,None,586.49,2,5.71,87,N#Cc1cccc(COc2cc(NCc3cccc(-c4ccccc4)c3Br)ccc2CN[C@H](CO)C(=O)O)c1,IC50,'=',637,nM,6.2,,,UO_0000065,10.56,0.22,0.49,5.41,0,CHEMBL4677437,Inhibition of PD1-Tag2/PD-L1-Tag1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2.5 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4673285,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.75 hr,INHIBITOR
CHEMBL4638930,,None,452.55,1,5.1,HT3,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4C)cc(=O)c3c2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4648624,,None,583.08,2,6.29,NC6,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,'=',30.4,nM,7.52,,,UO_0000065,12.89,0.24,1.23,8.93,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4639202,,None,555.07,2,7.3,NP19,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccccc1,IC50,'=',12.5,nM,7.9,,,UO_0000065,14.24,0.27,0.6,8.63,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4646151,,None,584.07,2,5.76,NT2,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@H]3C(=O)O)cc2Cl)cccc1-c1cccnc1,IC50,'>',100,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4649522,,None,585.06,2,5.15,NT6,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@H]3C(=O)O)cc2Cl)cccc1-c1cncnc1,IC50,'>',100,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4648480,,None,572.06,2,5.66,NT17,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccncc1,IC50,'>',100,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4537970,,None,527.54,2,5.55,39,Cc1c(/C=C/c2cc(CNC(C)(CO)C(=O)O)ccc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,IC50,'=',18,nM,7.75,,,UO_0000065,14.68,0.28,2.19,8.8,1,CHEMBL4613349,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4613205,1,Scientific Literature,Eur J Med Chem,2019,None,,
CHEMBL5087617,,None,414.47,0,4.63,18,Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CNCC(=O)O)c2)o1,IC50,'=',24500,nM,4.61,,,UO_0000065,11.12,0.2,-0.02,4.6,0,CHEMBL5048960,Inhibition of PD-1/PD-L1 (unknown origin) interaction pre-incubated for 15 mins and measured after 90 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5046280,1,Scientific Literature,J Med Chem,2022,None,TIME = 1.75 hr,DEGRADER
CHEMBL5088466,,None,414.51,0,4.88,22,Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CN(C)CCO)c2)o1,IC50,'=',67100,nM,4.17,,,UO_0000065,10.07,0.18,-0.71,5.61,0,CHEMBL5048960,Inhibition of PD-1/PD-L1 (unknown origin) interaction pre-incubated for 15 mins and measured after 90 mins by TR-FRET assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5046280,1,Scientific Literature,J Med Chem,2022,None,TIME = 1.75 hr,DEGRADER
CHEMBL5078455,,None,559.3,2,6.9,3,O=C(O)[C@@H]1CCCCN1Cc1ccc(OCc2cccc(-c3ccccc3)c2Br)c(Br)c1,IC50,'=',15,nM,7.82,,,UO_0000065,13.99,0.33,0.92,15.72,0,CHEMBL5040752,Inhibition of PD-1/PDL-1 (unknown origin) binding,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038619,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR
CHEMBL5077456,,None,575.63,1,4.8,8,COC(=O)[C@H](Cc1c[nH]cn1)Nc1nc(OCc2cccc(C#N)c2)nc(OCc2cccc(-c3ccccc3)c2C)n1,IC50,'>',5000,nM,,,,UO_0000065,,,,,0,CHEMBL5040753,Inhibition of human recombinant PD-1/PDL-1 interaction measured by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL5038619,1,Scientific Literature,J Med Chem,2021,None,,
